EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,TotalWorkingYears,YearsAtCompany,Attrition,EducationField,JobSatisfaction,OverTime,MaritalStatus,PerformanceRating
EMP1033,25,Male,IT,Manager,18820.54,1,1,No,Life Sciences,1,No,Married,3
EMP1034,46,Female,HR,Analyst,4691.53,7,2,No,Human Resources,2,No,Single,1
EMP1035,35,Female,R&D,Consultant,9185.94,1,1,No,Medical,1,No,Single,3
EMP1036,30,Male,Sales,Engineer,2994.0,32,8,Yes,Life Sciences,3,No,Single,3
EMP1037,47,Female,HR,Executive,17465.39,9,7,No,Other,4,No,Single,4
EMP1038,23,Female,IT,Manager,8778.23,29,28,No,Marketing,2,No,Single,4
EMP1039,41,Male,IT,Consultant,13544.55,26,21,No,Marketing,4,No,Married,3
EMP1040,49,Male,Sales,Engineer,15010.72,23,4,Yes,Human Resources,4,No,Married,3
EMP1041,28,Female,Sales,Consultant,10022.28,29,17,No,Human Resources,3,No,Married,3
EMP1042,29,Male,HR,Manager,7862.74,33,9,No,Life Sciences,3,No,Divorced,3
EMP1043,56,Female,Finance,Executive,19338.73,7,2,No,Life Sciences,2,No,Single,4
EMP1044,35,Female,Sales,Consultant,19378.54,12,4,No,Other,3,Yes,Single,2
EMP1045,38,Female,Finance,Analyst,7565.14,31,13,No,Human Resources,4,No,Single,4
EMP1046,57,Female,R&D,Engineer,10893.44,32,25,No,Medical,1,No,Divorced,3
EMP1047,25,Female,IT,Consultant,19524.77,20,18,No,Marketing,1,Yes,Divorced,3
EMP1048,23,Female,Finance,Engineer,2585.2,17,9,No,Other,1,No,Divorced,3
EMP1049,27,Male,IT,Analyst,9721.87,3,1,No,Life Sciences,2,No,Single,3
EMP1050,25,Male,Finance,Executive,4258.01,1,1,No,Medical,3,No,Married,3
EMP1051,50,Female,R&D,Executive,11410.26,27,27,No,Human Resources,3,No,Divorced,3
EMP1052,39,Female,Sales,Analyst,2931.72,33,8,No,Technical Degree,3,No,Divorced,3
EMP1053,47,Female,R&D,Engineer,9620.72,20,1,No,Life Sciences,3,Yes,Married,2
EMP1054,55,Male,Sales,Consultant,6362.23,14,1,No,Other,4,No,Divorced,3
EMP1055,31,Female,Sales,Analyst,11832.9,5,1,No,Technical Degree,1,Yes,Married,3
EMP1056,57,Male,IT,Manager,19929.89,23,9,No,Medical,4,Yes,Single,3
EMP1057,35,Female,R&D,Engineer,16509.38,15,4,Yes,Marketing,2,Yes,Married,3
EMP1058,52,Female,Finance,Executive,17298.74,6,5,Yes,Medical,1,Yes,Married,3
EMP1059,36,Male,R&D,Analyst,13617.14,33,32,No,Marketing,1,No,Single,3
EMP1060,29,Male,IT,Executive,3227.3,19,2,Yes,Medical,4,No,Divorced,3
EMP1061,35,Female,Sales,Engineer,6118.96,13,13,No,Life Sciences,2,No,Single,3
EMP1062,44,Female,IT,Executive,18688.63,29,9,Yes,Life Sciences,2,No,Divorced,1
EMP1063,42,Female,HR,Analyst,8906.98,6,6,Yes,Other,1,No,Divorced,3
EMP1064,37,Male,HR,Engineer,4313.64,15,4,Yes,Technical Degree,3,No,Married,3
EMP1065,39,Male,Finance,Manager,14792.09,16,6,No,Medical,2,No,Single,3
EMP1066,45,Male,IT,Analyst,7740.51,24,1,No,Medical,4,No,Married,2
EMP1067,47,Male,Finance,Consultant,7205.0,23,5,Yes,Technical Degree,2,No,Single,3
EMP1068,46,Male,Finance,Analyst,19964.61,10,3,No,Human Resources,1,Yes,Single,3
EMP1069,50,Male,HR,Engineer,17517.43,17,4,No,Other,3,No,Married,1
EMP1070,36,Female,Finance,Analyst,9638.91,30,1,No,Medical,2,No,Divorced,3
EMP1071,22,Female,HR,Manager,19654.57,10,9,No,Other,1,No,Divorced,3
EMP1072,46,Male,Sales,Manager,13876.98,19,4,Yes,Medical,2,No,Single,4
EMP1073,28,Female,IT,Consultant,15485.39,29,18,No,Medical,3,Yes,Divorced,1
EMP1074,30,Female,Finance,Executive,3051.48,2,2,Yes,Human Resources,4,Yes,Married,3
EMP1075,45,Male,HR,Engineer,4628.09,19,4,No,Life Sciences,1,No,Married,3
EMP1076,22,Female,R&D,Engineer,13578.99,7,1,Yes,Other,1,No,Married,3
EMP1077,29,Male,Finance,Executive,18232.92,26,10,No,Technical Degree,3,No,Single,3
EMP1078,45,Male,Sales,Manager,13415.52,15,3,No,Other,1,No,Single,3
EMP1079,32,Female,Sales,Manager,4845.44,3,3,Yes,Human Resources,3,Yes,Divorced,3
EMP1080,38,Male,R&D,Analyst,4525.8,16,7,No,Marketing,1,No,Married,1
EMP1081,29,Male,HR,Consultant,17273.25,2,2,No,Marketing,3,No,Married,3
EMP1082,56,Male,Finance,Consultant,4937.79,31,13,No,Human Resources,2,No,Single,3
EMP1083,56,Male,HR,Consultant,11604.06,28,4,No,Human Resources,2,Yes,Single,4
EMP1084,54,Male,Sales,Analyst,3149.48,7,2,Yes,Life Sciences,2,No,Single,3
EMP1085,26,Male,HR,Consultant,3911.72,30,11,No,Other,1,No,Married,1
EMP1086,49,Male,Sales,Executive,14266.09,7,1,No,Other,3,Yes,Married,3
EMP1087,28,Male,HR,Analyst,14560.67,29,4,No,Marketing,3,No,Divorced,4
EMP1088,30,Female,R&D,Executive,8475.71,24,24,No,Technical Degree,4,No,Married,3
EMP1089,29,Female,IT,Analyst,6273.17,4,2,No,Other,2,Yes,Divorced,3
EMP1090,33,Female,R&D,Consultant,16739.93,29,18,No,Medical,4,No,Divorced,3
EMP1091,55,Male,R&D,Executive,6299.31,5,3,No,Medical,2,Yes,Married,3
EMP1092,54,Male,IT,Executive,11985.47,29,10,No,Life Sciences,4,No,Divorced,1
EMP1093,44,Female,IT,Executive,19443.65,30,5,No,Life Sciences,2,No,Divorced,3
EMP1094,45,Female,Finance,Analyst,5087.42,29,23,No,Marketing,3,No,Single,3
EMP1095,58,Female,Finance,Engineer,18965.33,26,7,Yes,Technical Degree,2,Yes,Married,3
EMP1096,56,Male,R&D,Consultant,5700.63,19,12,No,Technical Degree,1,No,Divorced,3
EMP1097,43,Female,R&D,Executive,12430.26,26,25,No,Human Resources,2,No,Divorced,3
EMP1098,48,Female,Sales,Engineer,9097.63,27,3,No,Life Sciences,2,Yes,Divorced,3
EMP1099,56,Male,Sales,Consultant,19386.25,30,26,No,Other,3,No,Married,3
EMP1100,22,Female,Finance,Consultant,7286.99,30,4,No,Medical,1,Yes,Single,3
EMP1101,56,Male,Finance,Executive,9494.02,3,2,No,Other,3,No,Single,3
EMP1102,58,Male,Sales,Executive,19700.05,7,4,No,Medical,4,No,Married,3
EMP1103,35,Male,Sales,Analyst,11888.23,9,5,No,Marketing,4,No,Married,3
EMP1104,24,Female,HR,Engineer,11296.03,13,6,No,Medical,1,No,Married,3
EMP1105,22,Female,HR,Engineer,7011.12,15,15,No,Other,4,No,Married,3
EMP1106,26,Male,Sales,Executive,14773.86,5,3,No,Other,1,Yes,Single,4
EMP1107,47,Female,HR,Consultant,2751.53,29,29,No,Technical Degree,2,Yes,Divorced,3
EMP1108,35,Female,IT,Executive,3366.47,27,20,No,Technical Degree,4,Yes,Divorced,3
EMP1109,48,Female,Finance,Consultant,12988.78,27,19,Yes,Life Sciences,2,No,Married,3
EMP1110,30,Female,Finance,Consultant,8479.31,8,2,No,Other,3,No,Married,3
EMP1111,36,Male,Sales,Executive,19183.04,32,26,No,Marketing,4,No,Divorced,3
EMP1112,36,Female,R&D,Manager,18305.84,20,12,No,Medical,3,Yes,Single,2
EMP1113,47,Male,Sales,Engineer,14989.86,10,9,No,Life Sciences,3,No,Married,3
EMP1114,34,Male,HR,Consultant,16817.55,13,1,No,Human Resources,1,No,Married,3
EMP1115,53,Female,R&D,Consultant,14178.31,29,16,No,Human Resources,3,No,Single,2
EMP1116,53,Male,HR,Manager,4697.69,8,2,No,Medical,1,No,Single,4
EMP1117,25,Female,IT,Analyst,15897.01,29,24,No,Medical,1,No,Single,3
EMP1118,51,Female,HR,Manager,6178.36,31,15,No,Medical,1,No,Married,3
EMP1119,58,Male,IT,Manager,8160.25,30,7,No,Technical Degree,1,No,Single,3
EMP1120,44,Male,IT,Consultant,16836.6,22,1,No,Medical,1,No,Married,3
EMP1121,36,Male,HR,Engineer,11889.2,21,5,Yes,Human Resources,2,Yes,Married,3
EMP1122,50,Male,HR,Manager,17548.96,12,10,No,Medical,1,Yes,Single,3
EMP1123,57,Female,IT,Analyst,6228.12,11,6,No,Other,4,No,Divorced,3
EMP1124,34,Female,R&D,Executive,13136.12,2,1,Yes,Marketing,1,No,Single,3
EMP1125,53,Female,IT,Manager,3966.34,2,2,No,Human Resources,2,No,Divorced,3
EMP1126,28,Male,Finance,Manager,13753.57,34,13,No,Marketing,4,No,Single,3
EMP1127,43,Male,IT,Analyst,15844.35,3,1,No,Human Resources,4,No,Single,3
EMP1128,49,Male,R&D,Engineer,12736.29,16,16,Yes,Life Sciences,2,No,Married,2
EMP1129,23,Female,Finance,Manager,7159.05,4,3,No,Other,4,Yes,Married,2
EMP1130,27,Male,Sales,Manager,3048.5,23,9,No,Human Resources,2,No,Married,4
EMP1131,49,Female,Sales,Engineer,4590.36,20,16,No,Other,3,No,Married,3
EMP1132,49,Male,R&D,Analyst,13390.3,25,19,Yes,Human Resources,3,Yes,Married,3
EMP1133,41,Female,IT,Manager,18852.35,30,15,Yes,Marketing,1,No,Married,3
EMP1134,51,Female,HR,Engineer,6114.35,18,14,No,Marketing,1,No,Married,3
EMP1135,32,Male,R&D,Manager,15362.96,11,4,No,Human Resources,1,Yes,Divorced,3
EMP1136,49,Male,Finance,Executive,17662.89,29,10,No,Human Resources,1,No,Divorced,3
EMP1137,46,Female,Finance,Consultant,11615.44,17,12,No,Technical Degree,2,No,Married,3
EMP1138,54,Female,Sales,Executive,14212.15,26,1,Yes,Other,3,Yes,Divorced,3
EMP1139,22,Male,Finance,Manager,16762.77,23,21,No,Other,2,Yes,Single,3
EMP1140,48,Male,R&D,Analyst,7061.82,20,17,No,Other,4,No,Divorced,3
EMP1141,34,Female,Finance,Consultant,7695.67,2,1,No,Other,4,No,Married,2
EMP1142,24,Male,R&D,Executive,2510.98,24,23,No,Life Sciences,4,No,Divorced,3
EMP1143,27,Female,HR,Engineer,19354.15,31,19,No,Life Sciences,4,Yes,Single,2
EMP1144,29,Female,Sales,Analyst,18557.04,27,25,Yes,Medical,4,No,Divorced,3
EMP1145,48,Male,Finance,Executive,15879.94,2,2,No,Human Resources,3,No,Married,4
EMP1146,30,Male,R&D,Engineer,3883.83,14,12,No,Human Resources,2,No,Single,3
EMP1147,58,Male,IT,Manager,10331.3,4,3,No,Human Resources,4,No,Single,3
EMP1148,54,Male,Sales,Engineer,4283.11,13,9,No,Human Resources,1,Yes,Divorced,3
EMP1149,45,Male,HR,Executive,2778.6,8,6,No,Other,3,No,Single,3
EMP1150,36,Female,R&D,Executive,13283.2,2,2,No,Other,1,Yes,Single,3
EMP1151,53,Female,HR,Manager,19314.51,6,5,Yes,Life Sciences,3,No,Single,3
EMP1152,53,Male,HR,Engineer,18300.19,31,12,No,Marketing,3,Yes,Married,2
EMP1153,45,Male,Finance,Engineer,14693.21,10,7,No,Technical Degree,1,No,Single,3
EMP1154,33,Male,Finance,Manager,4191.21,21,14,No,Other,1,No,Divorced,3
EMP1155,23,Female,R&D,Engineer,7297.87,10,6,No,Other,4,No,Divorced,1
EMP1156,24,Male,IT,Manager,8100.99,23,21,Yes,Other,1,No,Single,3
EMP1157,58,Male,R&D,Analyst,15855.13,3,2,No,Marketing,2,No,Divorced,3
EMP1158,38,Female,IT,Executive,16539.36,32,2,No,Marketing,3,No,Single,3
EMP1159,23,Female,HR,Analyst,9239.36,20,8,No,Life Sciences,3,No,Divorced,3
EMP1160,23,Male,Sales,Consultant,9812.97,10,7,No,Other,4,Yes,Single,4
EMP1161,49,Male,R&D,Consultant,3278.91,29,6,No,Technical Degree,3,Yes,Single,3
EMP1162,44,Male,R&D,Consultant,7559.89,34,33,No,Human Resources,1,No,Single,3
EMP1163,58,Female,IT,Manager,10397.49,20,9,No,Other,3,Yes,Married,4
EMP1164,53,Male,HR,Engineer,4547.2,8,6,No,Life Sciences,3,No,Divorced,4
EMP1165,54,Male,HR,Analyst,10432.18,7,4,No,Life Sciences,1,Yes,Single,2
EMP1166,22,Male,IT,Analyst,17430.58,6,2,No,Technical Degree,1,No,Married,3
EMP1167,40,Female,HR,Analyst,12673.12,11,7,No,Medical,3,No,Married,1
EMP1168,23,Female,Finance,Analyst,3881.27,18,9,No,Life Sciences,2,Yes,Single,3
EMP1169,47,Male,Sales,Consultant,5854.25,29,5,No,Marketing,1,Yes,Single,4
EMP1170,53,Male,R&D,Analyst,10804.53,25,14,Yes,Marketing,2,No,Single,3
EMP1171,27,Female,Sales,Engineer,8826.03,21,5,No,Human Resources,2,No,Single,3
EMP1172,53,Female,R&D,Consultant,8777.72,3,3,No,Life Sciences,4,No,Single,3
EMP1173,25,Female,Finance,Analyst,11762.18,18,13,No,Human Resources,2,No,Divorced,3
EMP1174,32,Female,HR,Manager,12726.93,24,13,No,Life Sciences,4,Yes,Single,3
EMP1175,38,Female,IT,Executive,16445.08,10,8,No,Technical Degree,2,Yes,Single,3
EMP1176,59,Female,Finance,Executive,8466.91,27,11,Yes,Other,4,Yes,Divorced,3
EMP1177,45,Female,Sales,Executive,16595.66,12,12,No,Life Sciences,1,No,Married,3
EMP1178,26,Female,IT,Consultant,8425.7,7,2,No,Medical,3,No,Divorced,3
EMP1179,55,Female,HR,Analyst,3470.08,17,6,No,Marketing,3,Yes,Married,3
EMP1180,27,Male,Finance,Consultant,12198.28,1,1,No,Technical Degree,4,No,Married,2
EMP1181,43,Male,IT,Engineer,12788.29,26,22,No,Other,1,No,Divorced,3
EMP1182,32,Male,Finance,Manager,18854.45,15,2,No,Other,4,No,Single,1
EMP1183,37,Female,Finance,Manager,15206.07,33,13,No,Marketing,4,No,Married,4
EMP1184,54,Male,HR,Executive,18561.02,31,23,No,Other,1,No,Single,3
EMP1185,30,Female,R&D,Executive,18396.08,1,1,No,Human Resources,2,No,Divorced,4
EMP1186,27,Female,IT,Executive,13080.05,8,1,No,Technical Degree,2,No,Married,3
EMP1187,37,Male,HR,Analyst,11735.84,12,12,No,Medical,1,No,Single,3
EMP1188,50,Female,Finance,Engineer,12255.22,19,11,No,Marketing,4,No,Married,3
EMP1189,24,Male,HR,Engineer,19620.79,25,1,No,Life Sciences,3,No,Married,3
EMP1190,41,Male,R&D,Engineer,16030.43,32,24,No,Life Sciences,4,No,Divorced,3
EMP1191,57,Male,IT,Engineer,4359.65,12,2,No,Life Sciences,2,No,Single,1
EMP1192,40,Female,R&D,Executive,16122.5,13,1,No,Technical Degree,1,No,Single,4
EMP1193,47,Male,Sales,Manager,5484.42,28,8,Yes,Medical,1,Yes,Married,3
EMP1194,24,Female,IT,Executive,10328.63,1,1,No,Other,1,No,Single,4
EMP1195,40,Male,R&D,Engineer,6183.04,6,2,No,Medical,2,No,Married,3
EMP1196,41,Male,Finance,Executive,14567.7,8,6,Yes,Medical,4,No,Divorced,2
EMP1197,53,Male,IT,Engineer,17852.92,4,3,Yes,Marketing,1,No,Divorced,3
EMP1198,28,Female,IT,Consultant,7581.33,5,5,No,Technical Degree,3,No,Single,3
EMP1199,54,Female,HR,Manager,3935.19,25,16,No,Life Sciences,1,No,Divorced,3
EMP1200,39,Female,Finance,Consultant,7723.63,22,8,No,Marketing,4,No,Divorced,3
EMP1201,22,Male,Sales,Analyst,14266.33,28,19,No,Other,2,No,Single,4
EMP1202,32,Male,R&D,Executive,8253.3,23,16,Yes,Medical,3,No,Married,3
EMP1203,49,Female,HR,Analyst,7366.96,4,1,No,Life Sciences,3,No,Divorced,3
EMP1204,46,Female,R&D,Executive,5727.62,4,2,Yes,Technical Degree,1,Yes,Single,3
EMP1205,44,Female,Sales,Consultant,11206.54,21,20,No,Human Resources,4,No,Single,3
EMP1206,52,Female,Sales,Engineer,7329.1,2,1,No,Medical,1,Yes,Single,3
EMP1207,51,Female,IT,Engineer,15292.68,7,7,No,Medical,3,No,Divorced,3
EMP1208,56,Female,Sales,Executive,3840.89,16,16,No,Medical,1,Yes,Divorced,3
EMP1209,28,Male,R&D,Engineer,14120.58,17,16,No,Medical,4,No,Married,3
EMP1210,37,Female,Finance,Consultant,6657.3,20,12,No,Life Sciences,2,Yes,Married,3
EMP1211,47,Male,Finance,Engineer,11062.39,23,14,No,Technical Degree,3,No,Married,3
EMP1212,23,Male,IT,Consultant,7506.57,34,18,No,Marketing,4,No,Married,4
EMP1213,22,Female,R&D,Analyst,15148.45,11,11,No,Life Sciences,1,Yes,Married,2
EMP1214,33,Female,R&D,Consultant,19042.87,34,28,No,Technical Degree,3,No,Married,3
EMP1215,26,Male,Sales,Manager,18548.84,33,18,No,Marketing,1,Yes,Single,2
EMP1216,58,Female,R&D,Manager,12709.96,26,16,No,Medical,1,No,Married,1
EMP1217,53,Female,HR,Manager,10595.68,2,2,Yes,Technical Degree,2,No,Divorced,4
EMP1218,30,Male,Sales,Executive,16820.26,23,16,Yes,Medical,1,No,Married,3
EMP1219,56,Male,HR,Executive,14458.21,22,13,No,Technical Degree,1,No,Divorced,3
EMP1220,40,Male,IT,Executive,5712.37,34,29,No,Other,4,No,Married,4
EMP1221,37,Female,Finance,Consultant,16866.09,15,9,No,Human Resources,1,Yes,Single,3
EMP1222,24,Male,IT,Executive,10005.48,10,10,No,Medical,2,No,Single,3
EMP1223,41,Female,Finance,Analyst,5807.25,15,12,No,Medical,1,Yes,Divorced,3
EMP1224,45,Male,IT,Manager,7431.45,29,9,No,Medical,1,No,Married,3
EMP1225,54,Male,R&D,Consultant,7181.72,23,13,No,Other,1,No,Single,3
EMP1226,45,Male,HR,Manager,11586.12,17,4,No,Life Sciences,3,Yes,Single,3
EMP1227,32,Female,Finance,Executive,6601.48,9,9,No,Marketing,2,Yes,Married,2
EMP1228,29,Female,Sales,Consultant,4662.41,9,3,No,Medical,3,Yes,Divorced,4
EMP1229,57,Male,HR,Engineer,4664.59,16,12,Yes,Medical,2,No,Divorced,3
EMP1230,59,Male,Sales,Analyst,12707.33,33,32,Yes,Life Sciences,2,No,Divorced,4
EMP1231,41,Male,HR,Executive,15358.29,31,6,No,Life Sciences,4,No,Single,3
EMP1232,56,Female,HR,Executive,8126.83,6,3,No,Human Resources,3,No,Married,3
EMP1233,46,Male,IT,Analyst,3106.39,10,10,No,Technical Degree,2,Yes,Single,2
EMP1234,56,Female,Finance,Analyst,4726.44,16,9,Yes,Medical,2,No,Single,4
EMP1235,46,Male,Finance,Engineer,18507.15,4,2,No,Technical Degree,4,No,Single,3
EMP1236,50,Male,HR,Executive,11137.01,22,20,No,Life Sciences,3,No,Single,3
EMP1237,39,Male,R&D,Executive,10437.52,13,4,No,Life Sciences,1,No,Married,3
EMP1238,39,Male,R&D,Manager,3165.86,16,16,Yes,Human Resources,4,No,Single,3
EMP1239,23,Male,Sales,Consultant,15251.15,29,24,No,Marketing,2,Yes,Single,4
EMP1240,56,Male,Sales,Consultant,11741.19,6,1,Yes,Other,3,No,Divorced,2
EMP1241,37,Female,IT,Manager,6036.42,26,16,No,Other,2,No,Single,3
EMP1242,57,Male,HR,Consultant,4426.29,11,6,No,Other,4,No,Married,3
EMP1243,54,Female,Sales,Analyst,9209.29,24,8,Yes,Life Sciences,4,No,Single,3
EMP1244,25,Male,Sales,Consultant,17150.33,29,19,No,Medical,3,No,Married,3
EMP1245,54,Male,HR,Consultant,17642.65,3,2,Yes,Human Resources,4,No,Married,3
EMP1246,35,Female,IT,Manager,13049.81,10,9,No,Marketing,4,No,Married,4
EMP1247,42,Male,Sales,Engineer,15231.89,1,1,No,Other,1,No,Divorced,2
EMP1248,41,Female,IT,Consultant,4515.23,26,26,No,Human Resources,2,No,Divorced,3
EMP1249,29,Female,Finance,Consultant,12792.21,12,2,No,Life Sciences,1,No,Single,4
EMP1250,28,Male,IT,Engineer,14171.9,14,14,No,Other,1,Yes,Single,1
EMP1251,24,Female,R&D,Manager,6012.47,25,22,No,Marketing,3,No,Single,3
EMP1252,38,Female,R&D,Engineer,17902.71,8,4,No,Technical Degree,4,Yes,Married,3
EMP1253,54,Male,IT,Manager,5912.44,4,1,Yes,Marketing,2,Yes,Married,3
EMP1254,33,Female,R&D,Analyst,7985.85,28,28,No,Medical,2,No,Married,3
EMP1255,43,Male,Finance,Manager,13359.74,7,3,No,Other,2,Yes,Single,4
EMP1256,43,Male,HR,Analyst,13671.13,10,2,No,Other,4,No,Single,3
EMP1257,51,Male,R&D,Analyst,14739.23,2,2,No,Technical Degree,2,No,Single,3
EMP1258,59,Male,R&D,Manager,4460.2,26,13,No,Technical Degree,2,No,Single,3
EMP1259,59,Female,IT,Executive,17365.63,14,5,No,Other,4,Yes,Divorced,3
EMP1260,29,Male,Finance,Manager,11824.82,16,1,No,Medical,3,Yes,Divorced,1
EMP1261,48,Male,HR,Consultant,10748.13,17,8,No,Technical Degree,2,No,Divorced,3
EMP1262,48,Female,IT,Consultant,19669.21,22,1,Yes,Life Sciences,4,No,Single,3
EMP1263,55,Male,IT,Executive,15456.62,4,1,No,Other,1,No,Divorced,3
EMP1264,42,Male,Finance,Analyst,4565.11,19,3,No,Marketing,4,Yes,Divorced,4
EMP1265,51,Female,HR,Executive,15739.44,2,2,No,Marketing,1,No,Single,3
EMP1266,54,Female,Finance,Consultant,4166.86,9,2,No,Medical,4,Yes,Divorced,4
EMP1267,49,Female,HR,Executive,2980.73,19,15,No,Life Sciences,2,No,Single,3
EMP1268,54,Female,Finance,Manager,9563.45,16,1,No,Technical Degree,3,No,Single,3
EMP1269,26,Female,IT,Executive,19887.62,25,9,No,Other,3,Yes,Single,3
EMP1270,40,Female,IT,Analyst,5560.47,18,16,No,Marketing,2,No,Married,4
EMP1271,25,Female,Sales,Manager,14271.28,23,4,Yes,Marketing,1,Yes,Single,4
EMP1272,56,Male,R&D,Engineer,5534.43,21,12,Yes,Marketing,4,No,Divorced,4
EMP1273,38,Female,Finance,Consultant,15183.77,11,1,No,Marketing,2,No,Divorced,4
EMP1274,49,Female,Sales,Consultant,11343.69,4,1,No,Human Resources,4,Yes,Single,1
EMP1275,51,Female,R&D,Executive,14399.5,25,7,No,Medical,2,No,Married,3
EMP1276,50,Male,Finance,Manager,6050.28,32,32,Yes,Technical Degree,2,No,Married,3
EMP1277,27,Male,HR,Engineer,15548.5,30,18,No,Other,4,No,Married,3
EMP1278,56,Female,R&D,Manager,19923.33,26,23,Yes,Other,3,Yes,Divorced,4
EMP1279,58,Female,IT,Consultant,14148.88,34,23,No,Other,3,No,Married,1
EMP1280,45,Female,Sales,Manager,11135.9,9,9,No,Technical Degree,1,Yes,Married,3
EMP1281,50,Male,R&D,Engineer,18655.54,12,7,No,Medical,4,No,Single,3
EMP1282,52,Male,R&D,Executive,2777.41,2,2,Yes,Life Sciences,1,No,Married,3
EMP1283,56,Female,IT,Analyst,15273.66,5,5,No,Medical,2,Yes,Married,3
EMP1284,54,Male,Finance,Manager,18053.06,5,1,No,Marketing,1,Yes,Married,2
EMP1285,42,Female,HR,Analyst,3579.31,22,12,Yes,Marketing,2,No,Single,2
EMP1286,53,Male,IT,Consultant,10376.12,5,5,No,Medical,4,No,Single,3
EMP1287,44,Male,HR,Executive,6082.59,4,4,No,Medical,4,No,Married,3
EMP1288,54,Female,Finance,Executive,12414.07,9,8,Yes,Technical Degree,4,Yes,Divorced,1
EMP1289,24,Female,R&D,Manager,13867.0,29,24,No,Technical Degree,4,No,Divorced,4
EMP1290,39,Female,HR,Executive,7795.91,22,20,Yes,Human Resources,1,Yes,Single,3
EMP1291,46,Female,Sales,Manager,10549.68,27,13,No,Other,2,No,Married,3
EMP1292,52,Male,Sales,Manager,7388.44,10,8,No,Human Resources,3,No,Divorced,3
EMP1293,24,Male,IT,Analyst,8964.35,16,4,No,Other,4,No,Married,3
EMP1294,45,Male,Finance,Executive,5291.95,10,8,No,Marketing,4,Yes,Single,3
EMP1295,53,Female,IT,Manager,17997.29,6,5,No,Human Resources,2,No,Divorced,3
EMP1296,43,Male,IT,Analyst,2675.18,5,4,No,Human Resources,3,No,Single,3
EMP1297,44,Female,IT,Engineer,17942.16,6,6,No,Life Sciences,4,No,Married,2
EMP1298,23,Male,Sales,Analyst,12504.38,25,2,No,Medical,3,Yes,Single,4
EMP1299,48,Female,Sales,Analyst,8304.01,4,4,Yes,Technical Degree,4,No,Single,3
EMP1300,23,Female,IT,Manager,15153.5,32,18,No,Human Resources,1,No,Single,3
